banco,rango_orden,rango_monto,primer_mes,ultimo_mes,meses_observados,observaciones_modelables,creditos_total,creditos_mediana,tasa_minima,tasa_maxima,tasa_std,meses_esperados,cobertura_meses,apta_modelo
Banco GNB Sudameris,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-02,24,22,56,2.0,14.0175,25.416666666666668,3.8664150097638843,30,0.8,False
Banco GNB Sudameris,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-10,2026-02,23,21,80,3.0,14.436666666666667,26.82,3.648879477582014,29,0.7931034482758621,False
Banco Unión,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-11,2026-02,23,21,47,2.0,15.88,37.99,4.670398997410751,28,0.8214285714285714,False
Banco GNB Sudameris,6,Mayor a 100 SMLMV,2023-10,2026-02,21,19,40,2.0,12.0,24.97,3.833818066315675,29,0.7241379310344828,False
Banco Popular,1,Menor o igual a 3 SMLMV,2023-09,2026-02,20,18,101,2.0,24.09,34.669999999999995,4.0427194561658615,30,0.6666666666666666,False
MiBanco,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-10,2025-11,20,18,46,2.0,24.45,39.5,4.8489527898191245,26,0.7692307692307693,False
Banco GNB Sudameris,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-10,2026-02,19,17,32,1.0,12.72,27.24,3.719518372385679,29,0.6551724137931034,False
MiBanco,1,Menor o igual a 3 SMLMV,2023-09,2025-11,17,15,37,2.0,24.45,41.75,5.639867403588969,27,0.6296296296296297,False
Coopcentral,1,Menor o igual a 3 SMLMV,2023-10,2025-12,17,15,34,2.0,12.0,28.0,4.0445759692756225,27,0.6296296296296297,False
Banco GNB Sudameris,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-10,2025-12,17,15,23,1.0,14.3,26.22,4.084144984859493,27,0.6296296296296297,False
Banco Santander,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2024-09,2026-02,14,12,46,2.0,4.5,11.045,1.9429493907883537,18,0.7777777777777778,False
Bancien,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2024-09,13,11,1603,125.0,14.03,39.8,6.7256567706718196,13,1.0,False
Bancien,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2024-08,12,10,2681,245.0,29.153673469387755,39.8,3.802062994139355,12,1.0,False
Bancien,1,Menor o igual a 3 SMLMV,2023-09,2024-08,12,10,314,25.5,29.154615384615383,39.8,3.8113000797914323,12,1.0,False
Banco Santander,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2024-09,2025-12,12,10,34,3.0,4.5,17.59,4.013359247788536,16,0.75,False
Banco Santander,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2024-09,2025-12,11,9,35,3.0,4.5,17.59,4.995866202484942,16,0.6875,False
Banco Agrario,6,Mayor a 100 SMLMV,2024-08,2026-02,11,9,22,1.0,21.6,25.9,1.3584738912218053,19,0.5789473684210527,False
Banco Pichincha,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2025-05,10,8,118,4.5,18.298947368421054,36.02333333333333,5.484024352206931,21,0.47619047619047616,False
Banco Popular,6,Mayor a 100 SMLMV,2023-09,2025-06,10,8,43,2.5,18.86,27.835714285714285,2.7627590960703197,22,0.45454545454545453,False
Banco Pichincha,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-10,2024-11,9,7,161,11.0,19.0,29.486,3.5794117994341765,14,0.6428571428571429,False
Banco Pichincha,1,Menor o igual a 3 SMLMV,2023-10,2024-11,9,7,58,3.0,18.83555555555556,29.84,3.6503676083743772,14,0.6428571428571429,False
Banco Santander,6,Mayor a 100 SMLMV,2024-05,2025-11,9,7,20,2.0,4.5,21.02,5.506666666666666,19,0.47368421052631576,False
Banco Unión,6,Mayor a 100 SMLMV,2024-02,2026-01,9,7,10,1.0,17.57,30.76,4.360632917873786,24,0.375,False
Coopcentral,6,Mayor a 100 SMLMV,2023-09,2026-02,9,7,10,1.0,14.0,20.0,2.403700850309326,30,0.3,False
Banco Contactar,1,Menor o igual a 3 SMLMV,2024-03,2025-12,8,6,1876,193.5,14.0,33.3,6.352424181817032,22,0.36363636363636365,False
Banco Pichincha,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-10,2024-11,8,6,80,8.0,18.73090909090909,22.258,1.3358708621901452,14,0.5714285714285714,False
MiBanco,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-11,2025-08,8,6,11,1.0,24.45,37.98,5.157261177906623,22,0.36363636363636365,False
Banco Contactar,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2024-03,2025-12,7,5,1135,166.0,24.98,33.3,2.850727303205677,22,0.3181818181818182,False
Banco Contactar,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2024-03,2025-12,7,5,109,14.0,24.98,33.3,2.850190727814734,22,0.3181818181818182,False
Banco Santander,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2024-12,2025-11,5,3,6,1.0,4.5,16.76,5.4828386808294844,12,0.4166666666666667,False
Bancien,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2023-12,4,2,105,30.0,37.56,39.8,0.9688430122124653,4,1.0,False
Banco Pichincha,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2023-12,4,2,41,9.5,19.08888888888889,29.095,4.664527857257065,4,1.0,False
Bancien,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-10,2026-01,4,2,6,1.5,14.03,14.03,0.0,28,0.14285714285714285,False
Banco Santander,1,Menor o igual a 3 SMLMV,2024-05,2025-09,4,2,5,1.0,0.0,17.59,8.743326502729571,17,0.23529411764705882,False
Banco Pichincha,6,Mayor a 100 SMLMV,2023-09,2024-10,3,1,5,1.0,12.0,29.53,9.180855886834017,14,0.21428571428571427,False
Finandina,6,Mayor a 100 SMLMV,2024-05,2024-10,3,1,4,1.0,12.16,18.01,3.0563104118092026,6,0.5,False
Banco GNB Sudameris,1,Menor o igual a 3 SMLMV,2024-10,2025-08,3,1,3,1.0,17.34,22.0,2.3387461027938317,11,0.2727272727272727,False
Banco Contactar,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2024-03,2024-06,2,0,5,2.5,30.83,33.3,1.7465537495307715,4,0.5,False
Banco Mundo Mujer,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-10,2023-12,2,0,3,1.5,37.92,39.79,1.3222896808188445,3,0.6666666666666666,False
MiBanco,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-10,2024-07,2,0,2,1.0,29.16,39.5,7.3114841174689,10,0.2,False
